question,correct_answer,wrong_answer
¿Cuál es la capital de Francia?,París,Londres
¿Qué es la fotosíntesis?,El proceso por el cual las plantas producen su alimento,La forma de reproducción de los peces
¿Cuántos continentes hay en el mundo?,Siete,Seis
¿En qué año terminó la Segunda Guerra Mundial?,1945,1939
¿Quién escribió 'Cien años de soledad'?,Gabriel García Márquez,Mario Vargas Llosa
¿Cuál es el planeta más grande del sistema solar?,Júpiter,Marte
¿De qué país es originario el tango?,Argentina,España
¿Qué óxido provoca la corrosión del hierro?,Óxido de hierro,Óxido de zinc
¿Cuál es la fórmula química del agua?,H2O,CO2
¿Qué medicina se utiliza para tratar infecciones bacterianas?,Antibióticos,Antivirales
¿Quién pintó la Mona Lisa?,Leonardo da Vinci,Pablo Picasso
¿Qué lengua se habla en Brasil?,Portugués,Español
¿Cuál es el océano más grande?,Océano Pacífico,Océano Atlántico
¿Quién fue el primer presidente de los Estados Unidos?,George Washington,Abraham Lincoln
¿Qué instrumento se utiliza para medir la temperatura?,Termómetro,Barómetro
¿Cuál es la capital de Japón?,Tokio,Pekín
¿Cuántos huesos tiene el cuerpo humano adulto?,206,250
¿Cuál es el elemento químico más abundante en el universo?,Hidrógeno,Helio
¿En qué continente se encuentra Egipto?,África,Asia
¿Quién descubrió la penicilina?,Alexander Fleming,Louis Pasteur
¿Cuál es el país más grande del mundo?,Rusia,Canadá
¿Cuál es la moneda de Japón?,Yen,Won
¿Qué tipo de animal es un delfín?,Mamífero,Pez
¿Quién fue el autor de 'Don Quijote de la Mancha'?,Miguel de Cervantes,Lope de Vega
¿Qué es la gravedad?,La fuerza que atrae los objetos hacia el centro de la Tierra,La fuerza que empuja los objetos hacia arriba
¿Cuál es la capital de Italia?,Roma,Milán
¿En qué año se firmó la Declaración de Independencia de Estados Unidos?,1776,1789
¿Qué continente es conocido como la cuna de la civilización?,Asia,América
¿Qué es un agujero negro?,Una región del espacio con gravedad tan fuerte que nada puede escapar de ella,Un lugar donde se pierde todo el dinero
¿Cuál es la lengua oficial de China?,Mandarín,Cantonés
¿Qué gas respiramos?,Oxígeno,Dióxido de carbono
¿Cuál es la capital de Alemania?,Berlín,Múnich
¿Qué es un volcán?,Una abertura en la superficie de la Tierra por donde sale lava,Una montaña de forma cónica sin lava
¿En qué año se lanzó el primer hombre al espacio?,1961,1957
¿Qué país es famoso por sus canguros?,Australia,Sudáfrica
¿Quién pintó el techo de la Capilla Sixtina?,Miguel Ángel,Raphael
¿Qué se mide en decibelios?,El sonido,La electricidad
¿Cuál es el océano que se encuentra entre África y Australia?,Océano Índico,Océano Atlántico
¿Dónde se originó el Renacimiento?,Italia,Francia
¿Qué tipo de energía es la solar?,Renovable,No renovable
¿Quién es conocido como el padre de la física moderna?,Albert Einstein,Isaac Newton
¿Cuál es el capital de Canadá?,Ottawa,Toronto
¿Quién fue la primera mujer en ganar un Premio Nobel?,Marie Curie,Rosalind Franklin
¿Cuál es el formato de las URL en internet?,"Protocolo, dominio, path","Protocolo, puerto, servidor"
¿Quién escribió 'El Principito'?,Antoine de Saint-Exupéry,Jules Verne
¿Cuántos segundos hay en una hora?,3600,600
¿Cuáles son las partes principales de una célula?,"Núcleo, citoplasma y membrana celular","Núcleo, retículo endoplásmico y ácido graso"
¿Qué es la mitosis?,El proceso de división celular,La fusión de dos células
¿Cuál es el elemento más ligero de la tabla periódica?,Hidrógeno,Helio
¿Qué país es famoso por su chocolate y relojes?,Suiza,Bélgica
¿Qué tipo de energía se obtiene de los combustibles fósiles?,No renovable,Renovable
¿Cuál es el sistema montañoso más largo del mundo?,Los Andes,Las Rocosas
¿Qué animal es conocido como el rey de la selva?,León,Tigre
¿Qué tipo de animal es una tortuga?,Reptil,Mamífero
¿Cuál es el nombre del satélite natural de la Tierra?,La Luna,Marte
¿Qué fenómeno ocurre cuando la Tierra pasa entre el Sol y la Luna?,Un eclipse lunar,Un eclipse solar
¿En qué continente se encuentra el desierto del Sáhara?,África,Asia
¿Cuál es el deporte más popular del mundo?,Fútbol,Baloncesto
¿Qué significa la sigla UNESCO?,"Organización de las Naciones Unidas para la Educación, la Ciencia y la Cultura",Unión Nacional de Estudiantes de Ciencia y Organización
¿Quién fue el primer hombre en caminar sobre la Luna?,Neil Armstrong,Buzz Aldrin
¿Qué planta se utiliza para hacer vino?,La uva,El trigo
¿Cuál es la capital de Egipto?,El Cairo,Atenas
¿En qué juego se utilizan fichas y se juega en un tablero cuadrado?,Ajedrez,Damas
¿Qué es la revolución industrial?,Transformación de una economía agraria a una economía industrial,El cambio de estaciones en una región.
¿Qué país famoso tiene una gran muralla?,China,Rusia
¿Qué tipo de animal es una ballena?,Mamífero,Pez
¿Qué océano se encuentra en el hemisferio occidental?,Océano Pacífico,Océano Índico
¿Quién fue el líder del movimiento de independencia de India?,Mahatma Gandhi,Jawaharlal Nehru
¿Cuánto es 20% de 200?,40,20
¿Cuál es el país más poblado del mundo?,China,India
¿Quién es el Dr. Jekyll?,Un personaje de la novela de Robert Louis Stevenson,Un famoso médico real
¿Cuál es el río más largo del mundo?,El Amazonas,El Nilo
¿Cuál es la capital de España?,Madrid,Barcelona
¿Qué tipo de energía es la eólica?,Renovable,No renovable
¿Qué invento se asocia con Thomas Edison?,La bombilla,La radio
¿Cuál es la capital de Rusia?,Moscú,San Petersburgo
¿Cuál es el océano más pequeño del mundo?,Océano Ártico,Océano Índico
¿En qué país se encuentra la Torre Eiffel?,Francia,Alemania
¿Cuál es la cadena montañosa más larga del mundo?,Los Andes,Los Alpes
¿Cuántos planetas hay en el sistema solar?,Ocho,Nueve
¿Quién fue Wolfgang Amadeus Mozart?,Un compositor de música clásica,Un pintor renacentista
¿Qué continente es conocido por su biodiversidad?,América del Sur,Europa
¿Quién pintó 'Las Meninas'?,Diego Velázquez,Francisco Goya
¿Qué es la literatura?,El arte de escribir en prosa o verso,La industria de la impresión de libros
¿Cuál es el producto más famoso de los países bajos?,Queso,Vino
¿Qué animal es símbolo de los Estados Unidos?,El águila calva,El búho
¿Qué inventó Alexander Graham Bell?,El teléfono,La luz eléctrica
¿Quién fue Cleopatra?,Una faraona de Egipto,Una reina persa
¿Qué continente se conoce como el 'continente negro'?,África,Asia
¿Cuáles son los colores de la bandera de México?,"Verde, blanco y rojo","Rojo, azul y amarillo"
¿Cómo se llama el proceso de convertir gas a líquido?,Condensación,Evaporación
¿Cuánto es 9 x 9?,81,72
¿Qué descubrimiento hizo Galileo Galilei?,Las lunas de Júpiter,La teoría de la relatividad
¿Cuál es la capital de Argentina?,Buenos Aires,Córdoba
¿Qué tipo de tejido es la piel humana?,Epiteliar,Muscular
¿Qué continente no tiene desiertos?,Europa,África
¿Qué tipo de sistema político fue establecido en la antigua Grecia?,Democracia,Monarquía
¿Cuál es el Pokémon inicial de tipo agua en la región de Kanto?,Squirtle,Charmander
¿Qué es el Big Bang?,La teoría sobre el origen del universo,La explosión de una estrella
¿Cuántos días tiene un año bisiesto?,366,365
¿Qué instrumento musical tiene cuerdas y se toca con un arco?,Violín,Piano
¿Qué país es conocido por su producción de aceite de oliva?,España,Francia
¿Cuál es el símbolo químico del oro?,Au,Ag
¿Cuál es la capital de Suecia?,Estocolmo,Gotemburgo
¿Qué océano se encuentra al este de África?,Océano Índico,Océano Atlántico
¿Qué animal es conocido por su capacidad para cambiar de color?,Camaleón,Serpiente
¿Qué sustancia se utiliza para dar dulce a las comidas?,Azúcar,Sal
